ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,CATEGORIA,PUNTOS_DESERTOR,CATEGORIA_NUM
Estudiante 1,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,DESERTOR,3,3
Estudiante 10,2024 - 2025 CII,9.07,8.26,98.43,1,0,7,0.00,BAJO,0,0
Estudiante 100,2023 - 2024 CII,8.42,7.14,95.60,1,0,5,0.00,BAJO,0,0
Estudiante 100,2024 - 2025 CI,8.21,7.38,88.80,1,0,5,0.00,BAJO,0,0
Estudiante 100,2024 - 2025 CII,8.27,7.32,91.00,1,0,4,0.00,BAJO,0,0
Estudiante 101,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 102,2024 - 2025 CII,7.43,7.43,90.00,1,0,1,0.00,MEDIO,0,1
Estudiante 103,2024 - 2025 CII,9.00,9.00,97.00,1,0,1,0.00,BAJO,0,0
Estudiante 104,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 105,2024 - 2025 CII,0.00,0.00,0.00,1,1,1,1.00,DESERTOR,3,3
Estudiante 106,2024 - 2025 CII,7.44,7.44,100.00,1,0,1,0.00,MEDIO,0,1
Estudiante 107,2024 - 2025 CI,9.15,8.41,97.29,1,0,7,0.00,BAJO,0,0
Estudiante 107,2024 - 2025 CII,9.04,8.12,97.86,1,0,7,0.00,BAJO,0,0
Estudiante 108,2024 - 2025 CI,9.29,8.64,98.00,1,0,7,0.00,BAJO,0,0
Estudiante 108,2024 - 2025 CII,8.90,7.48,98.57,1,0,7,0.00,BAJO,0,0
Estudiante 109,2024 - 2025 CI,7.66,7.29,94.43,1,0,7,0.00,BAJO,0,0
Estudiante 109,2024 - 2025 CII,8.06,7.47,95.00,1,0,7,0.00,BAJO,0,0
Estudiante 11,2024 - 2025 CII,8.68,7.26,98.86,1,0,7,0.00,BAJO,0,0
Estudiante 110,2024 - 2025 CI,8.91,7.24,97.43,1,0,7,0.00,BAJO,0,0
Estudiante 110,2024 - 2025 CII,8.81,7.92,96.43,1,0,7,0.00,BAJO,0,0
Estudiante 111,2024 - 2025 CI,7.78,7.06,98.00,1,0,7,0.00,BAJO,0,0
Estudiante 111,2024 - 2025 CII,7.87,7.00,98.00,1,0,7,0.00,BAJO,0,0
Estudiante 112,2024 - 2025 CI,9.39,8.24,99.00,1,0,7,0.00,BAJO,0,0
Estudiante 112,2024 - 2025 CII,9.21,7.72,96.29,1,0,7,0.00,BAJO,0,0
Estudiante 113,2023 - 2024 CII,7.53,6.30,93.00,1,1,7,0.14,BAJO,0,0
Estudiante 113,2024 - 2025 CI,7.91,6.81,90.00,2,1,6,0.17,ALTO,0,2
Estudiante 113,2024 - 2025 CII,6.23,3.57,79.83,2,3,6,0.50,ALTO,0,2
Estudiante 114,2024 - 2025 CI,9.08,8.22,99.43,1,0,7,0.00,BAJO,0,0
Estudiante 114,2024 - 2025 CII,0.15,0.00,6.29,1,7,7,1.00,DESERTOR,3,3
Estudiante 115,2024 - 2025 CI,8.31,7.06,99.00,1,0,7,0.00,BAJO,0,0
Estudiante 115,2024 - 2025 CII,6.90,4.14,94.71,1,3,7,0.43,MEDIO,0,1
Estudiante 116,2023 - 2024 CII,8.14,7.01,95.71,1,0,7,0.00,BAJO,0,0
Estudiante 116,2024 - 2025 CI,7.70,5.74,96.43,1,2,7,0.29,MEDIO,0,1
