ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 1,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 2,2025 - 2026 CI,8.28,7.27,91.20,3,0,5,0.00,0,ALTO
Estudiante 3,2025 - 2026 CI,9.30,8.55,100.00,1,0,7,0.00,0,BAJO
Estudiante 4,2025 - 2026 CI,8.60,7.39,100.00,1,0,7,0.00,0,BAJO
Estudiante 5,2025 - 2026 CI,7.74,7.00,98.00,2,0,3,0.00,0,ALTO
Estudiante 6,2025 - 2026 CI,9.29,8.31,99.43,1,0,7,0.00,0,BAJO
Estudiante 7,2025 - 2026 CI,7.64,7.14,95.00,2,0,4,0.00,0,ALTO
Estudiante 8,2025 - 2026 CI,8.71,7.33,100.00,1,0,7,0.00,0,BAJO
Estudiante 9,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 10,2025 - 2026 CI,9.24,8.59,99.43,1,0,7,0.00,0,BAJO
Estudiante 11,2025 - 2026 CI,8.78,7.18,99.43,1,0,7,0.00,0,BAJO
Estudiante 12,2025 - 2026 CI,8.87,7.10,99.43,1,0,7,0.00,0,BAJO
Estudiante 13,2025 - 2026 CI,9.02,7.93,98.00,1,0,7,0.00,0,BAJO
Estudiante 14,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 15,2025 - 2026 CI,8.89,7.01,99.43,1,0,7,0.00,0,BAJO
Estudiante 16,2025 - 2026 CI,8.52,7.88,95.50,2,0,8,0.00,0,ALTO
Estudiante 17,2025 - 2026 CI,8.95,7.31,97.14,1,0,7,0.00,0,BAJO
Estudiante 18,2025 - 2026 CI,9.33,7.95,100.00,1,0,7,0.00,0,BAJO
Estudiante 19,2025 - 2026 CI,9.26,7.99,100.00,1,0,7,0.00,0,BAJO
Estudiante 20,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 21,2025 - 2026 CI,8.98,7.24,98.57,1,0,7,0.00,0,BAJO
Estudiante 22,2025 - 2026 CI,9.41,7.90,99.43,1,0,7,0.00,0,BAJO
Estudiante 23,2025 - 2026 CI,8.72,6.70,100.00,1,1,7,0.14,0,BAJO
Estudiante 24,2025 - 2026 CI,9.07,7.39,100.00,1,0,7,0.00,0,BAJO
Estudiante 25,2025 - 2026 CI,9.49,8.45,100.00,1,0,7,0.00,0,BAJO
Estudiante 26,2025 - 2026 CI,7.44,4.37,81.20,2,1,5,0.20,0,ALTO
Estudiante 27,2025 - 2026 CI,8.89,8.16,100.00,1,0,7,0.00,0,BAJO
Estudiante 28,2025 - 2026 CI,8.76,7.94,96.80,2,0,5,0.00,0,ALTO
Estudiante 29,2025 - 2026 CI,8.86,7.40,99.43,1,0,7,0.00,0,BAJO
Estudiante 30,2025 - 2026 CI,9.06,7.85,96.57,1,0,7,0.00,0,BAJO
Estudiante 31,2024 - 2025 CII,0.00,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 32,2025 - 2026 CI,8.50,7.00,96.29,1,0,7,0.00,0,BAJO
Estudiante 33,2025 - 2026 CI,8.67,7.26,94.57,1,0,7,0.00,0,BAJO
Estudiante 34,2025 - 2026 CI,0.00,0.00,2.43,2,7,7,1.00,3,DESERTOR
Estudiante 35,2025 - 2026 CI,0.73,0.00,6.25,1,4,4,1.00,3,DESERTOR
